art_style,emotion,painting,repetition,utterance,version,split,tokens_len,utterance_spelled,emotion_label,image_file,grounding_emotion
High_Renaissance,anger,cima-da-conegliano_st-jerome-in-a-landscape,20,This man looks angry and like he is going to throw a rock at someone.,new,train,15,this man looks angry and like he is going to throw a rock at someone,4,/ibex/scratch/mohameys/wiki_art_paintings/rescaled_600px_max_side/High_Renaissance/cima-da-conegliano_st-jerome-in-a-landscape.jpg,anger
Color_Field_Painting,fear,helen-frankenthaler_untitled(1),5,There appears to be a creepy face within this image that makes me feel scared.,new,test,15,there appears to be a creepy face within this image that makes me feel scared,6,/ibex/scratch/mohameys/wiki_art_paintings/rescaled_600px_max_side/Color_Field_Painting/helen-frankenthaler_untitled(1).jpg,fear
Color_Field_Painting,excitement,mark-rothko_yellow-band,8,It is similar but has happy and positive colors,new,train,9,it is similar but has happy and positive colors,3,/ibex/scratch/mohameys/wiki_art_paintings/rescaled_600px_max_side/Color_Field_Painting/mark-rothko_yellow-band.jpg,excitement
Pop_Art,fear,howard-hodgkin_girl-on-a-sofa-1968,19,The colors that were chosen provoke anger and fear.,new,train,9,the colors that were chosen provoke anger and fear,6,/ibex/scratch/mohameys/wiki_art_paintings/rescaled_600px_max_side/Pop_Art/howard-hodgkin_girl-on-a-sofa-1968.jpg,fear
Romanticism,sadness,vasily-tropinin_portrait-of-d-p-tatishchev-1838,2,This decorated general makes me think he sat for this painting right before going off to battle one last time.,new,train,20,this decorated general makes me think he sat for this painting right before going off to battle one last time,7,/ibex/scratch/mohameys/wiki_art_paintings/rescaled_600px_max_side/Romanticism/vasily-tropinin_portrait-of-d-p-tatishchev-1838.jpg,sadness
Minimalism,disgust,jiro-yoshihara_untitled(1),17,This image compared to the original have a discomforting feeling.,new,train,10,this image compared to the original have a discomforting feeling,5,/ibex/scratch/mohameys/wiki_art_paintings/rescaled_600px_max_side/Minimalism/jiro-yoshihara_untitled(1).jpg,disgust
Mannerism_Late_Renaissance,contentment,paolo-veronese_scorn,3,This painting make me feel joyful and safe,new,train,8,this painting make me feel joyful and safe,2,/ibex/scratch/mohameys/wiki_art_paintings/rescaled_600px_max_side/Mannerism_Late_Renaissance/paolo-veronese_scorn.jpg,contentment
Impressionism,sadness,camille-pissarro_the-clearing,2,"This feels very blurred out, as though the people are fading away.",new,train,12,this feels very blurred out as though the people are fading away,7,/ibex/scratch/mohameys/wiki_art_paintings/rescaled_600px_max_side/Impressionism/camille-pissarro_the-clearing.jpg,sadness
High_Renaissance,sadness,pietro-perugino_martyrdom-of-st-sebastian,20,There are people armed with bows and arrows ready to attack someone who cannot defend themselves.,new,train,17,there are people armed with bows and arrows ready to attack someone who can not defend themselves,7,/ibex/scratch/mohameys/wiki_art_paintings/rescaled_600px_max_side/High_Renaissance/pietro-perugino_martyrdom-of-st-sebastian.jpg,sadness
Northern_Renaissance,fear,albrecht-altdorfer_the-battle-of-issus-fragment-1529-10,4,This guy looks like he is about to ride into battle on his horse. I'm sure that is a scary situation,new,train,22,this guy looks like he is about to ride into battle on his horse i am sure that is a scary situation,6,/ibex/scratch/mohameys/wiki_art_paintings/rescaled_600px_max_side/Northern_Renaissance/albrecht-altdorfer_the-battle-of-issus-fragment-1529-10.jpg,fear
Rococo,contentment,dmitry-levitzky_natalia-melgunova,10,"Her eyes look completely content and happy, with a gently smile",new,train,11,her eyes look completely content and happy with a gently smile,2,/ibex/scratch/mohameys/wiki_art_paintings/rescaled_600px_max_side/Rococo/dmitry-levitzky_natalia-melgunova.jpg,contentment
Ukiyo_e,fear,katsushika-hokusai_swallow-and-begonia-and-strawberry-pie,8,"Here the mother bird fears for the life of her fledgling youngster, who is just beginning to learn to take flight, and even more importantly, land safely.",new,train,27,here the mother bird fears for the life of her fledgling youngster who is just beginning to learn to take flight and even more importantly land safely,6,/ibex/scratch/mohameys/wiki_art_paintings/rescaled_600px_max_side/Ukiyo_e/katsushika-hokusai_swallow-and-begonia-and-strawberry-pie.jpg,fear
Northern_Renaissance,fear,martin-schongauer_altar-of-omgeving-1491,30,"This person is afraid of Jesus, as he was dead on the cross and rose again.",new,train,16,this person is afraid of jesus as he was dead on the cross and rose again,6,/ibex/scratch/mohameys/wiki_art_paintings/rescaled_600px_max_side/Northern_Renaissance/martin-schongauer_altar-of-omgeving-1491.jpg,fear
Ukiyo_e,anger,utagawa-kuniyoshi_the-actor-22,7,Angry man holding a bow and arrow. He has tense eyebrows with a scowl on his face.,new,train,17,angry man holding a bow and arrow he has tense eyebrows with a scowl on his face,4,/ibex/scratch/mohameys/wiki_art_paintings/rescaled_600px_max_side/Ukiyo_e/utagawa-kuniyoshi_the-actor-22.jpg,anger
Ukiyo_e,disgust,utagawa-kuniyoshi_the-actor-22,7,The facial expression seems out of character,new,train,7,the facial expression seems out of character,5,/ibex/scratch/mohameys/wiki_art_paintings/rescaled_600px_max_side/Ukiyo_e/utagawa-kuniyoshi_the-actor-22.jpg,disgust
Ukiyo_e,anger,utagawa-kuniyoshi_the-actor-22,7,Seems to be mad at whatever is bothering her. She's ready to hurt whatever comes her way.,new,train,18,seems to be mad at whatever is bothering her she is ready to hurt whatever comes her way,4,/ibex/scratch/mohameys/wiki_art_paintings/rescaled_600px_max_side/Ukiyo_e/utagawa-kuniyoshi_the-actor-22.jpg,anger
Pointillism,disgust,edouard-vuillard_my-grandmother-1892,15,it is unappealing covered with all of the red smudges the artist put in it,new,train,15,it is unappealing covered with all of the red smudges the artist put in it,5,/ibex/scratch/mohameys/wiki_art_paintings/rescaled_600px_max_side/Pointillism/edouard-vuillard_my-grandmother-1892.jpg,disgust
Pointillism,sadness,edouard-vuillard_my-grandmother-1892,15,The red dots represent tears of sadness,new,train,7,the red dots represent tears of sadness,7,/ibex/scratch/mohameys/wiki_art_paintings/rescaled_600px_max_side/Pointillism/edouard-vuillard_my-grandmother-1892.jpg,sadness
Realism,contentment,ilya-repin_if-all-not-i-1896,6,"Despite the ragged appearance of their clothes, the people around the table appear to be engaged in animated conversation and enjoying themselves.",new,val,22,despite the ragged appearance of their clothes the people around the table appear to be engaged in animated conversation and enjoying themselves,2,/ibex/scratch/mohameys/wiki_art_paintings/rescaled_600px_max_side/Realism/ilya-repin_if-all-not-i-1896.jpg,contentment
Realism,awe,ilya-repin_if-all-not-i-1896,6,Their old friend past away one year ago and tonight they hold a vigil to remember their dearly beloved deceased friend.,new,val,21,their old friend past away one year ago and tonight they hold a vigil to remember their dearly beloved deceased friend,1,/ibex/scratch/mohameys/wiki_art_paintings/rescaled_600px_max_side/Realism/ilya-repin_if-all-not-i-1896.jpg,awe
Minimalism,anger,jiro-yoshihara_untitled(1),17,The colors and the structure of the circle.,new,train,8,the colors and the structure of the circle,4,/ibex/scratch/mohameys/wiki_art_paintings/rescaled_600px_max_side/Minimalism/jiro-yoshihara_untitled(1).jpg,anger
High_Renaissance,fear,pietro-perugino_martyrdom-of-st-sebastian,20,The lord rules over all living things,new,train,7,the lord rules over all living things,6,/ibex/scratch/mohameys/wiki_art_paintings/rescaled_600px_max_side/High_Renaissance/pietro-perugino_martyrdom-of-st-sebastian.jpg,fear
Color_Field_Painting,disgust,edward-corbett_p-t-5-1970,3,"The ""crack"" on the painting evokes negative thoughts",new,train,8,the crack on the painting evokes negative thoughts,5,/ibex/scratch/mohameys/wiki_art_paintings/rescaled_600px_max_side/Color_Field_Painting/edward-corbett_p-t-5-1970.jpg,disgust
Mannerism_Late_Renaissance,anger,giorgio-vasari_lorenzo-de-medici-the-magnificent,4,The facial expression shows an upset angry man.,new,train,8,the facial expression shows an upset angry man,4,/ibex/scratch/mohameys/wiki_art_paintings/rescaled_600px_max_side/Mannerism_Late_Renaissance/giorgio-vasari_lorenzo-de-medici-the-magnificent.jpg,anger
Abstract_Expressionism,fear,jack-tworkov_june-21-1964,6,The red lines make me think of being stressed on many things in the world.,new,test,15,the red lines make me think of being stressed on many things in the world,6,/ibex/scratch/mohameys/wiki_art_paintings/rescaled_600px_max_side/Abstract_Expressionism/jack-tworkov_june-21-1964.jpg,fear
Abstract_Expressionism,disgust,jack-tworkov_june-21-1964,6,I believe this is negative and sad.,new,test,7,i believe this is negative and sad,5,/ibex/scratch/mohameys/wiki_art_paintings/rescaled_600px_max_side/Abstract_Expressionism/jack-tworkov_june-21-1964.jpg,disgust
